,Name_open_ai,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Evolution,Total
112,Sparkvolt,Electric,,79,67,56,131,93,22,1,False,Stage1,448
113,Grassquito,Bug,Grass,16,110,67,72,74,62,1,False,Stage1,401
114,Grasslash,Grass,Grass,48,112,74,126,108,90,6,False,Mega,558
115,Dragairon,Dragon,Flying,93,170,115,194,132,72,5,True,Basic,776
116,Grounderro,Ground,,57,66,30,58,28,5,3,False,Basic,244
117,Mindflare,Psychic,,35,96,19,116,68,5,5,False,Basic,339
118,Ghastlybug,Bug,Ghost,44,43,58,55,74,128,2,False,Basic,402
119,Flamoxia,Fire,Poison,27,74,74,82,68,145,1,False,Mega,470
120,Grasshade,Dark,Grass,56,48,101,131,128,33,5,False,Stage2,497
121,Punchamp,Fighting,Fighting,48,96,121,41,71,107,4,False,Stage1,484
122,Normphantasma,Normal,Ghost,64,116,84,17,34,81,3,False,Mega,396
123,Dragoniclaw,Steel,Dragon,74,102,125,120,79,44,6,False,Mega,544
124,Hydroray,Water,,98,102,134,45,65,50,6,False,Stage1,494
125,Flamnight,Fire,Dark,137,108,118,74,83,38,5,False,Stage2,558
126,Aquaragon,Water,,98,105,79,82,87,80,4,False,Mega,531
127,Psychitron,Psychic,,40,107,91,140,149,51,3,False,Mega,578
128,Darkquake,Ground,Dark,47,57,85,94,98,95,3,False,Stage1,476
129,Steelixion,Steel,,112,76,77,154,114,89,3,True,Basic,622
130,Leafthorn,Grass,,118,71,84,58,63,36,3,False,Stage2,430
131,Phantasmind,Psychic,Ghost,61,94,63,93,97,36,5,False,Basic,444
132,Bugquatic,Water,Bug,115,136,65,77,66,117,5,False,Stage2,576
133,Mindflare,Psychic,,80,78,62,54,38,55,2,False,Basic,367
134,Fairynorm,Fairy,Normal,48,96,36,106,172,66,1,False,Stage1,524
135,Dragonicus,Psychic,Dragon,35,25,52,45,43,74,2,False,Basic,274
136,Darkombat,Fighting,Dark,45,69,109,91,37,73,1,False,Stage2,424
137,Stonix,Rock,,71,78,52,31,62,42,2,False,Mega,336
138,Psytrix,Psychic,,18,74,20,57,30,96,1,False,Basic,295
139,Flamornal,Fire,Normal,75,109,39,194,107,79,4,True,Stage1,603
140,Psychitron,Psychic,,149,142,101,81,173,81,3,True,Basic,727
141,Dragosky,Dragon,Flying,51,78,140,135,147,123,3,True,Basic,674
142,Psychormal,Psychic,Normal,27,52,47,70,28,64,1,False,Basic,288
143,Electroshade,Electric,Dark,47,39,51,55,47,122,6,False,Stage1,361
144,Dragosych,Dragon,Psychic,121,182,117,86,168,51,4,True,Basic,725
145,Grasslash,Grass,,37,78,46,38,70,114,5,False,Basic,383
146,Normound,Normal,Ground,20,89,37,46,83,8,3,False,Basic,283
147,Phantasmal,Ghost,,6,65,88,105,99,85,1,False,Mega,448
148,Aquametal,Steel,Water,79,108,118,104,68,67,1,False,Mega,544
149,Psychifly,Psychic,Flying,64,81,62,92,174,111,5,False,Stage2,584
