Unnamed: 0,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Evolution
63,sdv-pii-k1kq0,Bug,,65,100,28,10,107,117,3,False,1.0
64,sdv-pii-caqoo,Water,,24,51,96,150,20,26,6,False,0.0
65,sdv-pii-z2f70,Rock,Ground,52,140,112,110,50,124,3,False,2.0
66,sdv-pii-br5br,Water,Ghost,56,139,83,22,30,137,1,False,2.0
67,sdv-pii-fugvo,Bug,,89,96,74,10,121,89,5,False,3.0
68,sdv-pii-rg36l,Bug,Flying,52,160,27,84,27,180,2,False,2.0
69,sdv-pii-9o3sw,Fire,Dragon,142,190,102,21,165,180,4,False,0.0
70,sdv-pii-j14bf,Normal,Steel,106,91,67,50,130,56,5,False,0.0
71,sdv-pii-6k2qd,Psychic,,69,78,48,82,127,110,5,False,5.0
72,sdv-pii-nvt7e,Psychic,Fairy,74,148,17,23,89,109,1,False,1.0
73,sdv-pii-8tkqm,Water,Flying,63,19,52,173,62,91,2,False,2.0
74,sdv-pii-yf41r,Water,,115,147,64,26,110,121,3,False,0.0
75,sdv-pii-lyy4v,Poison,Water,69,187,145,30,103,55,2,False,2.0
76,sdv-pii-wkyfl,Normal,,62,53,99,14,113,104,5,False,
77,sdv-pii-g7g28,Electric,Fighting,56,120,9,124,123,97,4,True,2.0
78,sdv-pii-tubxx,Steel,Flying,91,75,26,21,54,157,1,False,2.0
79,sdv-pii-k880d,Steel,,93,92,135,106,60,67,2,False,1.0
80,sdv-pii-0kj10,Water,Poison,85,129,57,80,131,63,2,False,2.0
81,sdv-pii-8dwjm,Electric,,4,162,47,73,34,88,3,False,0.0
82,sdv-pii-4xoge,Fire,Steel,83,123,166,108,146,133,1,False,1.0
83,sdv-pii-6ynja,Psychic,,14,71,80,169,29,67,2,False,1.0
84,sdv-pii-2zw9u,Grass,,27,183,88,82,43,29,3,False,1.0
85,sdv-pii-ir9n3,Water,Fairy,24,190,118,124,86,120,1,True,1.0
86,sdv-pii-8j9au,Water,,118,23,230,36,40,128,2,False,0.0
87,sdv-pii-ie4th,Fighting,,101,190,22,10,35,106,4,False,2.0
88,sdv-pii-c04fz,Fairy,,117,153,76,38,162,70,5,False,3.0
89,sdv-pii-ahh0a,Water,,45,60,29,31,37,152,5,False,1.0
90,sdv-pii-wh6gh,Ground,,48,39,5,10,25,86,2,False,1.0
91,sdv-pii-1x5d7,Dragon,Steel,92,50,61,69,44,114,4,False,2.0
92,sdv-pii-xlcr3,Electric,Flying,87,61,120,39,102,97,4,False,1.0
93,sdv-pii-9v289,Electric,Psychic,127,110,81,58,77,128,1,False,2.0
94,sdv-pii-c7ati,Water,,77,147,50,81,35,56,3,False,2.0
95,sdv-pii-1fsyt,Electric,Grass,85,182,64,70,145,95,1,False,2.0
96,sdv-pii-f8mhz,Rock,Fire,104,118,58,45,196,129,4,False,2.0
97,sdv-pii-ph30u,Fairy,Fairy,93,102,26,129,31,109,3,True,0.0
98,sdv-pii-pjhcv,Electric,,56,178,160,69,127,117,5,False,2.0
99,sdv-pii-9lkgd,Ground,Dark,82,131,112,134,54,92,4,True,1.0
100,sdv-pii-py49k,Electric,,70,94,40,73,57,106,5,False,0.0
101,sdv-pii-75l0w,Electric,,92,109,27,87,58,78,4,False,
102,sdv-pii-b68tm,Poison,Poison,80,111,53,157,128,180,5,False,1.0
103,sdv-pii-a4kzv,Normal,Flying,38,190,135,28,65,78,2,False,0.0
104,sdv-pii-ern11,Water,Fire,108,57,78,36,106,96,6,False,3.0
105,sdv-pii-ewmz3,Electric,,38,116,17,180,116,124,6,False,1.0
106,sdv-pii-66w2n,Bug,Dragon,139,22,85,65,46,102,2,False,2.0
107,sdv-pii-11z7l,Grass,Dark,22,88,100,58,31,50,5,False,2.0
108,sdv-pii-lt1zb,Psychic,Rock,17,169,34,26,72,124,2,False,2.0
109,sdv-pii-9ds3g,Water,Ground,50,101,94,10,60,16,2,False,3.0
110,sdv-pii-cabww,Normal,Ice,53,77,73,48,42,23,5,False,2.0
111,sdv-pii-nddvg,Grass,,47,107,76,143,20,143,1,False,0.0
112,sdv-pii-26rfe,Ice,Flying,104,111,14,65,48,151,5,False,2.0
113,sdv-pii-w6zy9,Dragon,Flying,105,23,22,85,82,83,5,False,0.0
114,sdv-pii-3s7w8,Grass,Fighting,65,39,19,69,81,94,1,False,1.0
115,sdv-pii-jawpf,Water,,35,127,113,25,63,97,5,False,5.0
116,sdv-pii-3w2hw,Fighting,Fire,44,115,105,67,76,180,6,False,0.0
117,sdv-pii-oojhl,Ghost,Flying,82,51,65,175,122,75,6,False,0.0
118,sdv-pii-dx300,Fighting,Poison,82,39,100,39,38,116,3,False,1.0
119,sdv-pii-brna0,Water,,56,113,137,43,76,126,2,False,3.0
120,sdv-pii-7pbog,Rock,Dark,79,117,72,52,88,64,5,False,1.0
121,sdv-pii-2qe4v,Fire,,58,110,44,46,68,94,5,True,1.0
122,sdv-pii-dem9b,Ground,,76,166,131,66,49,45,1,False,2.0
123,sdv-pii-k3dwz,Water,,77,157,35,37,48,76,3,False,0.0
124,sdv-pii-tdmwl,Steel,Poison,78,76,63,43,74,52,6,True,0.0
125,sdv-pii-2t6em,Fighting,Flying,41,52,72,36,47,79,2,False,1.0
126,sdv-pii-dwxla,Psychic,Steel,113,95,51,37,49,131,4,False,1.0
127,sdv-pii-qcxfa,Fighting,Flying,103,188,22,55,89,69,5,False,3.0
128,sdv-pii-896fo,Poison,,97,43,125,101,111,47,3,False,0.0
129,sdv-pii-4iqtt,Fairy,Poison,96,98,51,41,131,134,4,False,0.0
130,sdv-pii-lf5tc,Water,Grass,112,110,82,76,51,180,3,True,2.0
131,sdv-pii-5qkl8,Ghost,Flying,87,54,119,28,78,109,3,True,0.0
132,sdv-pii-wp9me,Ground,Dark,102,169,68,46,131,146,5,False,1.0
133,sdv-pii-5wxnu,Ground,,79,35,35,112,84,131,6,False,2.0
134,sdv-pii-ezwwi,Dragon,,57,36,48,88,93,65,1,True,0.0
135,sdv-pii-qj10h,Bug,,113,153,230,42,84,115,6,False,3.0
136,sdv-pii-7yh30,Water,Flying,85,63,80,10,102,85,1,False,5.0
137,sdv-pii-wlrxw,Psychic,Electric,35,54,123,46,115,103,2,False,0.0
138,sdv-pii-9apvr,Water,,107,96,73,149,75,130,6,False,2.0
139,sdv-pii-mcjmc,Psychic,,210,181,159,116,85,87,6,False,0.0
140,sdv-pii-u1a8j,Fighting,,55,149,25,39,62,136,4,False,0.0
141,sdv-pii-ola23,Ground,Flying,98,171,100,36,174,154,4,False,0.0
142,sdv-pii-h9r2k,Grass,,74,5,71,91,34,151,5,False,0.0
143,sdv-pii-dq5bm,Ghost,Poison,43,85,31,29,82,125,4,False,1.0
144,sdv-pii-s29cj,Rock,,61,190,86,32,108,76,2,False,0.0
145,sdv-pii-uhfr3,Water,Ghost,89,102,37,40,50,119,4,False,3.0
146,sdv-pii-76ws9,Normal,Fighting,86,89,34,73,87,58,5,False,5.0
147,sdv-pii-krkxc,Electric,Poison,38,37,102,39,73,102,3,False,2.0
148,sdv-pii-t8axu,Poison,,102,95,79,14,47,107,2,False,2.0
149,sdv-pii-aqc8d,Dragon,Grass,29,135,42,91,101,51,4,False,0.0
150,sdv-pii-jhvos,Water,Flying,22,120,49,10,23,127,6,False,0.0
151,sdv-pii-kcbix,Psychic,,137,141,78,143,92,119,1,True,0.0
152,sdv-pii-mty74,Electric,,54,15,207,41,203,139,1,False,2.0
153,sdv-pii-xb3dq,Water,Dragon,79,58,110,95,130,63,5,False,3.0
154,sdv-pii-jxb6q,Fire,Electric,113,106,122,85,94,110,3,True,2.0
155,sdv-pii-vwnju,Ground,,44,82,139,124,78,147,3,False,2.0
156,sdv-pii-fh9vd,Rock,,84,95,173,85,115,88,5,True,2.0
157,sdv-pii-flwbv,Dragon,,42,67,52,72,96,141,5,False,2.0
158,sdv-pii-zany8,Psychic,Flying,49,51,97,39,158,148,5,False,2.0
159,sdv-pii-2a039,Ice,Ice,50,52,66,24,75,95,4,False,1.0
160,sdv-pii-2l91r,Psychic,,72,80,114,72,94,141,5,False,1.0
161,sdv-pii-ggyhp,Dragon,Psychic,46,190,76,119,54,102,6,False,0.0
162,sdv-pii-zwy95,Bug,Ice,70,190,138,105,76,180,3,False,0.0
163,sdv-pii-09f2u,Flying,Flying,47,15,41,122,86,73,1,False,5.0
164,sdv-pii-vwtc6,Fighting,Ground,147,190,51,26,76,146,3,False,1.0
165,sdv-pii-crrh8,Ground,Flying,96,188,175,45,80,79,1,False,1.0
166,sdv-pii-1fb90,Fairy,Fairy,100,160,46,39,66,92,1,False,3.0
167,sdv-pii-t93gk,Dark,Dragon,108,159,89,137,90,144,6,True,0.0
168,sdv-pii-nbhmx,Bug,Flying,50,41,48,31,40,99,5,False,1.0
169,sdv-pii-s6ue9,Dark,,118,112,70,128,116,115,1,False,0.0
170,sdv-pii-o2t08,Normal,Ghost,83,63,225,112,94,59,1,True,2.0
171,sdv-pii-kga5y,Water,,74,95,91,124,102,147,1,True,2.0
172,sdv-pii-c79vz,Rock,Fire,69,29,66,64,32,180,1,False,2.0
173,sdv-pii-y81ib,Dragon,Flying,93,128,58,16,77,86,2,False,0.0
174,sdv-pii-6dwzs,Normal,Ghost,61,118,114,130,26,104,2,False,0.0
175,sdv-pii-dzkar,Dragon,,86,116,55,39,29,107,3,False,2.0
176,sdv-pii-x8csl,Ghost,,67,190,112,43,93,79,5,False,1.0
177,sdv-pii-j2jom,Fighting,,78,113,69,85,20,142,5,False,0.0
178,sdv-pii-ysh1n,Ground,,68,122,107,52,51,124,5,False,2.0
179,sdv-pii-xuhgk,Psychic,,79,51,109,86,91,63,5,False,2.0
180,sdv-pii-qhtop,Poison,Fairy,77,115,51,44,106,25,5,False,1.0
181,sdv-pii-a3j67,Rock,Flying,20,164,5,71,22,80,5,False,1.0
182,sdv-pii-dibl8,Psychic,Flying,56,142,76,18,38,102,1,False,2.0
183,sdv-pii-lun4p,)Normal,,92,113,50,30,93,43,1,True,5.0
184,sdv-pii-01l5y,Fire,Ice,70,33,78,10,87,134,4,False,1.0
185,sdv-pii-u24yg,Ice,Steel,98,114,55,65,105,142,5,False,1.0
186,sdv-pii-bobtc,Water,Electric,53,190,134,19,65,73,3,False,1.0
187,sdv-pii-flmmy,Ice,Flying,87,37,113,113,77,91,6,False,0.0
188,sdv-pii-fs4rq,Bug,,89,175,105,31,68,108,2,False,1.0
189,sdv-pii-0vke7,Water,Flying,114,153,28,48,84,111,1,False,3.0
190,sdv-pii-1b1he,Water,,42,122,85,39,138,81,2,False,0.0
191,sdv-pii-nmj4u,Dark,Psychic,76,91,37,89,66,99,4,True,2.0
192,sdv-pii-btlom,Water,Ghost,85,128,56,68,129,25,1,True,
193,sdv-pii-a2ecm,Rock,Dark,98,83,31,123,106,128,3,False,0.0
194,sdv-pii-doews,Electric,Water,90,55,17,10,94,91,1,True,5.0
195,sdv-pii-h402i,Psychic,,92,47,96,96,64,107,5,False,3.0
196,sdv-pii-lzpyr,Psychic,Dark,59,190,118,50,67,104,3,True,2.0
197,sdv-pii-beebd,Water,,79,55,49,62,95,119,3,False,0.0
198,sdv-pii-qrwft,Fairy,Steel,47,35,77,49,42,139,3,False,5.0
199,sdv-pii-sqxdp,Water,Fighting,155,143,28,58,26,154,5,False,2.0
200,sdv-pii-yc62p,Poison,,43,128,8,81,104,93,2,False,2.0
201,sdv-pii-r7yvn,Water,,53,184,67,29,144,135,5,False,3.0
202,sdv-pii-tqg3e,Water,Rock,111,128,73,69,60,82,1,False,0.0
203,sdv-pii-ugjt0,Psychic,,47,180,29,107,72,73,1,False,5.0
204,sdv-pii-gi85t,Ground,Fairy,121,26,52,129,111,88,3,True,2.0
205,sdv-pii-xns0w,Dark,,43,72,61,10,25,93,3,False,1.0
206,sdv-pii-rd7hq,Grass,Flying,59,5,74,80,109,95,4,False,1.0
207,sdv-pii-2kxre,Water,,69,127,33,169,31,120,1,False,2.0
208,sdv-pii-baqjj,Ghost,Ice,87,117,122,27,172,67,6,True,2.0
209,sdv-pii-yaa0g,Dragon,Grass,49,64,53,73,61,122,1,False,0.0
210,sdv-pii-jq6u1,Normal,Ground,64,136,68,192,21,117,3,False,2.0
211,sdv-pii-9w4zm,Ice,,49,8,61,116,21,100,5,False,2.0
212,sdv-pii-aq5xu,Bug,Dark,88,48,152,50,72,102,3,False,2.0
213,sdv-pii-j7een,Dragon,,69,32,87,34,55,85,3,False,0.0
214,sdv-pii-jeolk,Electric,Water,65,122,148,27,122,78,1,True,0.0
215,sdv-pii-0cjkt,Electric,Psychic,95,190,92,26,85,32,1,False,2.0
216,sdv-pii-787ou,Bug,Dark,37,164,74,76,146,27,1,False,0.0
217,sdv-pii-rchqu,Grass,Fighting,110,124,44,46,61,126,2,False,5.0
218,sdv-pii-2vlix,Grass,Dragon,54,41,8,18,87,67,4,False,1.0
219,sdv-pii-6kmxa,Fairy,Electric,96,127,107,87,61,119,5,False,0.0
220,sdv-pii-bevud,Bug,,69,92,18,92,132,123,4,True,0.0
221,sdv-pii-gbr0h,Psychic,,85,94,104,27,195,76,1,False,2.0
222,sdv-pii-mj969,Fighting,,61,49,28,65,36,93,1,False,3.0
223,sdv-pii-8h695,Normal,Flying,56,28,57,73,66,136,3,False,3.0
224,sdv-pii-fb4vj,Fighting,,62,154,49,43,81,109,2,False,5.0
225,sdv-pii-h2d4m,Psychic,Water,75,154,71,130,81,180,1,False,2.0
226,sdv-pii-fynl9,Steel,Psychic,73,190,43,102,42,56,3,False,1.0
227,sdv-pii-8htn4,Poison,,70,62,95,14,57,137,6,False,2.0
228,sdv-pii-vjp58,Steel,,31,35,20,127,70,99,6,False,2.0
229,sdv-pii-rk21d,Ghost,Poison,128,139,170,57,103,98,5,True,0.0
230,sdv-pii-i4y7k,Bug,,49,14,89,50,20,103,2,False,1.0
231,sdv-pii-unryr,Water,,86,120,59,56,85,141,1,False,0.0
232,sdv-pii-klwum,Normal,Flying,67,90,68,34,118,87,4,False,3.0
233,sdv-pii-4kfwp,Ground,,87,184,124,10,20,129,2,False,1.0
234,sdv-pii-vvx0x,Psychic,,33,102,117,10,28,84,4,False,0.0
235,sdv-pii-yqqb8,Grass,Ghost,38,122,63,10,50,120,4,False,0.0
236,sdv-pii-v9l3w,Ice,Fairy,78,154,66,26,61,125,1,False,0.0
237,sdv-pii-xz5wo,Rock,Flying,69,53,74,15,58,102,4,False,2.0
238,sdv-pii-ayzkk,Steel,,92,149,51,171,20,117,4,False,2.0
239,sdv-pii-b7947,Water,Ground,50,128,91,88,105,77,1,False,3.0
240,sdv-pii-tpajs,Psychic,Water,126,35,65,68,137,169,4,False,0.0
241,sdv-pii-qhlg2,Water,,56,58,17,74,20,107,5,False,1.0
242,sdv-pii-hz5zk,Water,Fire,86,126,60,17,89,109,6,False,1.0
243,sdv-pii-zaguj,Normal,,122,178,93,41,180,180,6,False,1.0
244,sdv-pii-sz7zg,Grass,Fighting,62,44,72,52,133,113,4,False,1.0
245,sdv-pii-vtm97,Psychic,,47,106,51,96,90,73,3,False,0.0
246,sdv-pii-aiw3j,Normal,,72,190,113,82,79,63,3,True,0.0
247,sdv-pii-x2zr6,Flying,,65,51,11,69,24,179,3,False,2.0
248,sdv-pii-a652f,Fire,,81,45,67,102,20,141,1,False,2.0
249,sdv-pii-mxwk1,Normal,Psychic,185,101,89,55,76,58,3,True,0.0
250,sdv-pii-ucvfd,Dark,,10,5,69,66,29,68,2,False,1.0
251,sdv-pii-a0082,Grass,Flying,97,104,39,59,72,94,4,False,2.0
252,sdv-pii-hxwpi,Ghost,,74,90,22,112,90,97,1,True,2.0
253,sdv-pii-60fxt,Ice,Fighting,104,95,89,57,68,105,6,False,2.0
254,sdv-pii-9859q,Bug,Poison,100,146,25,47,82,136,4,True,2.0
255,sdv-pii-mxzh8,Fighting,,127,144,108,27,42,84,3,True,0.0
256,sdv-pii-8twhv,Rock,Flying,31,190,164,28,46,140,6,True,0.0
257,sdv-pii-88rry,Steel,,37,105,109,24,66,143,1,False,1.0
258,sdv-pii-ta15r,Ice,Water,49,162,92,180,99,117,3,True,2.0
259,sdv-pii-wwigp,Bug,Poison,102,122,78,62,81,137,2,False,3.0
260,sdv-pii-b1osq,Normal,Normal,39,29,36,60,40,71,6,False,0.0
261,sdv-pii-7r0dn,Rock,,53,168,28,131,130,95,3,True,5.0
262,sdv-pii-u13sh,Ice,,92,181,100,63,66,65,2,False,1.0
263,sdv-pii-w05mq,Steel,Poison,93,111,90,17,150,86,3,False,2.0
264,sdv-pii-26o7v,Psychic,Dark,43,128,26,69,159,64,2,True,1.0
265,sdv-pii-ttucr,Normal,,104,61,49,89,56,93,3,False,0.0
266,sdv-pii-rrews,Water,,210,118,79,42,68,134,3,False,1.0
267,sdv-pii-mas2t,Electric,Water,105,155,102,10,156,50,4,False,0.0
268,sdv-pii-p4k47,Dragon,Fire,90,58,219,10,111,124,4,False,2.0
269,sdv-pii-vxjby,Electric,,82,162,29,25,98,69,1,False,1.0
270,sdv-pii-0i30k,Normal,Steel,72,67,46,75,57,75,3,False,2.0
271,sdv-pii-v5l16,Poison,Poison,55,72,25,35,61,33,2,True,0.0
272,sdv-pii-2ypg6,Ice,,50,93,73,81,160,84,3,False,2.0
273,sdv-pii-67r3v,Poison,Dark,67,69,79,34,20,46,6,False,2.0
274,sdv-pii-fm0p2,Steel,Fighting,83,78,120,30,124,118,2,True,2.0
275,sdv-pii-4uufg,Dragon,Fairy,146,188,73,27,107,169,1,False,0.0
276,sdv-pii-lzkgq,Ice,,89,80,84,65,63,101,3,True,2.0
277,sdv-pii-3fizb,Poison,Fighting,103,190,145,73,74,12,4,False,5.0
278,sdv-pii-owa8k,Rock,Normal,76,64,105,74,71,150,2,False,2.0
279,sdv-pii-tsz89,Ice,Normal,24,49,43,27,78,71,4,False,2.0
280,sdv-pii-n1ovz,Rock,,87,158,106,156,94,47,3,False,2.0
281,sdv-pii-bn7ph,Dark,,26,15,70,129,65,71,6,False,0.0
282,sdv-pii-cwb3l,Water,,74,50,22,101,70,146,5,False,1.0
283,sdv-pii-grxoe,Rock,Dark,96,102,112,191,120,75,6,False,0.0
284,sdv-pii-dzx2u,Water,Water,88,78,52,10,105,170,3,False,3.0
285,sdv-pii-tk674,Water,,52,140,87,22,118,121,3,False,2.0
286,sdv-pii-26nrt,Fire,Steel,128,152,187,133,94,164,4,False,0.0
287,sdv-pii-fpl3o,Water,Fire,130,102,70,36,47,126,3,False,0.0
288,sdv-pii-ivq5r,Psychic,Dragon,51,101,89,21,182,127,1,False,2.0
289,sdv-pii-o7z6l,Water,Flying,88,117,36,56,127,58,5,True,3.0
290,sdv-pii-rbi56,Fire,Rock,75,104,71,116,71,107,5,False,1.0
291,sdv-pii-fjh1j,Psychic,Electric,41,88,74,76,109,111,1,False,2.0
292,sdv-pii-ec7es,Poison,Rock,113,168,121,52,108,52,1,False,2.0
293,sdv-pii-19wxg,Normal,Fighting,95,116,62,81,52,55,3,False,2.0
294,sdv-pii-79x4d,Dragon,Psychic,56,54,59,57,156,77,5,False,2.0
295,sdv-pii-4vybj,Water,,61,10,5,13,75,83,4,False,2.0
296,sdv-pii-4s9lg,Bug,Dark,96,190,209,15,55,83,4,False,1.0
297,sdv-pii-4f8m3,Grass,Dragon,47,78,76,53,20,102,4,False,2.0
298,sdv-pii-hmhe8,Bug,,68,12,9,10,127,86,4,False,2.0
299,sdv-pii-pogdk,Bug,Poison,145,109,106,84,51,49,2,True,2.0
300,sdv-pii-1om6i,Water,Rock,70,101,5,42,33,120,2,False,1.0
301,sdv-pii-1mcua,Psychic,Poison,87,190,129,39,59,65,3,False,1.0
302,sdv-pii-yftmo,Dragon,,52,48,74,35,153,119,1,False,3.0
303,sdv-pii-gyivr,Poison,Fairy,120,190,37,87,99,15,3,False,5.0
304,sdv-pii-7p2lh,Psychic,Steel,103,86,44,15,132,75,2,True,0.0
305,sdv-pii-98ykm,Psychic,,46,95,116,115,81,135,1,True,5.0
306,sdv-pii-xfwnx,Electric,Poison,33,178,80,60,57,38,5,False,1.0
307,sdv-pii-7isru,Rock,Poison,22,175,101,101,51,77,1,True,1.0
308,sdv-pii-cvul0,Ghost,Ground,71,103,64,65,141,34,1,True,1.0
309,sdv-pii-auttb,Water,Ground,95,66,154,23,37,95,4,False,0.0
310,sdv-pii-cutum,Water,Ice,74,35,142,18,112,71,4,False,3.0
311,sdv-pii-ctja0,Dark,Ghost,89,171,74,59,57,120,3,False,3.0
312,sdv-pii-h9fb6,Electric,Flying,42,105,62,30,145,93,4,False,1.0
313,sdv-pii-ekon7,Normal,Electric,110,128,80,29,27,91,6,False,1.0
314,sdv-pii-7qtj6,Normal,Psychic,61,137,90,18,83,101,3,True,5.0
315,sdv-pii-ikej5,Bug,Grass,84,133,30,10,66,131,3,False,3.0
316,sdv-pii-bj8is,Grass,,109,88,5,41,104,75,2,False,1.0
317,sdv-pii-zl2ee,Fire,,75,64,126,64,89,97,1,False,5.0
318,sdv-pii-y6a68,Grass,Fairy,68,24,34,159,73,98,4,False,2.0
319,sdv-pii-db3ys,Dark,,89,114,128,73,88,110,3,False,5.0
320,sdv-pii-vytk0,Rock,,74,19,75,68,162,75,6,False,0.0
321,sdv-pii-c80fx,Grass,Dark,112,100,95,27,134,129,2,False,0.0
322,sdv-pii-xfp3j,Fire,Flying,77,152,38,23,81,66,2,False,1.0
323,sdv-pii-dvjl2,Dark,,54,77,46,38,78,66,1,False,5.0
324,sdv-pii-xivag,Fire,Flying,43,49,90,37,130,158,2,False,5.0
325,sdv-pii-55215,Steel,Water,28,14,127,41,75,92,5,False,0.0
326,sdv-pii-ixx1i,Grass,Flying,53,161,72,79,79,76,2,False,2.0
327,sdv-pii-krsxk,Ghost,Fighting,49,146,64,68,30,38,3,False,2.0
328,sdv-pii-195ta,Fire,Ghost,109,68,137,113,74,83,3,False,0.0
329,sdv-pii-qud6j,Poison,,105,120,147,149,51,80,5,False,0.0
330,sdv-pii-fi59b,Ground,,45,71,6,59,97,82,1,False,0.0
331,sdv-pii-k3hhp,Electric,,94,190,64,38,144,86,4,True,2.0
332,sdv-pii-e0jls,Flying,,49,68,7,47,62,91,1,False,0.0
333,sdv-pii-5efrj,Rock,Fighting,27,141,154,66,94,5,5,False,3.0
334,sdv-pii-u6dxj,Flying,Fairy,85,190,113,56,129,70,3,False,2.0
